Date,Price
2018-01-01,1.281
2018-02-01,1.265
2018-03-01,1.309
2018-04-01,1.281
2018-05-01,1.293
2018-06-01,1.279
2018-07-01,1.293
2018-08-01,1.302
2018-09-01,1.288
2018-10-01,1.277
2018-11-01,1.274
2018-12-01,1.290
2019-01-01,1.274
2019-02-01,1.282
2019-03-01,1.261
2019-04-01,1.285
2019-05-01,1.289
2019-06-01,1.280
2019-07-01,1.281
2019-08-01,1.275
2019-09-01,1.296
2019-10-01,1.325
2019-11-01,1.361
2019-12-01,1.363
2020-01-01,1.351
2020-02-01,1.375
2020-03-01,1.374
2020-04-01,1.406
2020-05-01,1.412
2020-06-01,1.474
2020-07-01,1.485
2020-08-01,1.495
2020-09-01,1.492
2020-10-01,1.503
2020-11-01,1.515
2020-12-01,1.538
2021-01-01,1.546
2021-02-01,1.537
2021-03-01,1.526
2021-04-01,1.510
2021-05-01,1.511
2021-06-01,1.510
2021-07-01,1.491
2021-08-01,1.467
2021-09-01,1.580
2021-10-01,1.526
2021-11-01,1.547
2021-12-01,1.532
2022-01-01,1.555
2022-02-01,1.578
2022-03-01,1.607
2022-04-01,1.612
2022-05-01,1.606
2022-06-01,1.691
2022-07-01,1.715
2022-08-01,1.756
2022-09-01,1.749
2022-10-01,1.814
2022-11-01,1.847
2022-12-01,1.873
2023-01-01,1.888
2023-02-01,1.896
2023-03-01,1.936
2023-04-01,1.989
2023-05-01,1.951
2023-06-01,1.937
2023-07-01,1.980
2023-08-01,1.970
2023-09-01,1.972
2023-10-01,2.002
2023-11-01,1.976
2023-12-01,2.024
2024-01-01,2.033
2024-02-01,2.006
2024-03-01,1.997
2024-04-01,1.998
2024-05-01,1.971
2024-06-01,1.973
2024-07-01,1.975
2024-08-01,1.951
2024-09-01,1.976
2024-10-01,1.937
2024-11-01,1.916
2024-12-01,1.912
2025-01-01,1.925
2025-02-01,1.925
