Date,Price
2018-01-01,2.961
2018-02-01,2.923
2018-03-01,2.903
2018-04-01,2.924
2018-05-01,2.919
2018-06-01,2.877
2018-07-01,2.839
2018-08-01,2.871
2018-09-01,2.890
2018-10-01,2.913
2018-11-01,2.877
2018-12-01,2.853
2019-01-01,2.913
2019-02-01,2.900
2019-03-01,2.944
2019-04-01,2.980
2019-05-01,2.963
2019-06-01,3.054
2019-07-01,3.031
2019-08-01,3.045
2019-09-01,3.102
2019-10-01,3.119
2019-11-01,3.189
2019-12-01,3.188
2020-01-01,3.253
2020-02-01,3.196
2020-03-01,3.248
2020-04-01,3.267
2020-05-01,3.210
2020-06-01,3.198
2020-07-01,3.255
2020-08-01,3.406
2020-09-01,3.448
2020-10-01,3.380
2020-11-01,3.425
2020-12-01,3.535
2021-01-01,3.468
2021-02-01,3.368
2021-03-01,3.348
2021-04-01,3.447
2021-05-01,3.497
2021-06-01,3.557
2021-07-01,3.627
2021-08-01,3.560
2021-09-01,3.585
2021-10-01,3.663
2021-11-01,3.671
2021-12-01,3.743
2022-01-01,3.787
2022-02-01,3.875
2022-03-01,3.917
2022-04-01,4.012
2022-05-01,4.204
2022-06-01,4.153
2022-07-01,4.156
2022-08-01,4.194
2022-09-01,4.181
2022-10-01,4.184
2022-11-01,4.218
2022-12-01,4.211
2023-01-01,4.204
2023-02-01,4.163
2023-03-01,4.098
2023-04-01,4.042
2023-05-01,4.042
2023-06-01,3.985
2023-07-01,3.971
2023-08-01,3.927
2023-09-01,3.965
2023-10-01,3.927
2023-11-01,3.997
2023-12-01,4.008
2024-01-01,3.958
2024-02-01,3.940
2024-03-01,3.893
2024-04-01,3.868
2024-05-01,3.864
2024-06-01,3.956
2024-07-01,3.983
2024-08-01,4.044
2024-09-01,4.021
2024-10-01,4.041
2024-11-01,4.138
2024-12-01,4.101
2025-01-01,4.025
2025-02-01,4.026
